FECHA,RIVAL,RESULTADO,LUGAR
16/10/25,Hurones,3-5,Taqueral - Torneo
13/10/25,Torcazas,8-5,Taqueral - Amistoso
09/10/25,Torcazas FC,8-4,Taqueral - Torneo
02/10/25,Inter de Milonga,5-3,Taqueral - Torneo
29/09/25,Ases del Balón,10-2,Taqueral - Amistoso
08/09/25,Unión sin Fronteras,13-6,SoccerSiete - Torneo
01/09/25,Academia,3-2,SoccerSiete - Torneo
25/08/25,Forasteros,5-11,SoccerSiete - Torneo
18/08/25,San Lucho,5-6,SoccerSiete - Torneo
15/08/25,Suéltala,4-3,Taqueral - Amistoso
