FECHA,RIVAL,RESULTADO,LUGAR
29-09-25,Ases del Balón,10-2,Taqueral
08-09-25,Unión sin Fronteras,13-6,SoccerSiete
01-09-25,Academia,3-2,SoccerSiete
25-08-25,Forasteros,5-11,SoccerSiete
18-08-25,San Lucho,5-6,SoccerSiete
15-08-25,Suéltala,4-3,Taqueral
11-08-25,Sin Perdón,5-8,SoccerSiete
04-08-25,Nacimiento,2-4,SoccerSiete
30-07-25,Basuritas,9-3,Taqueral
28-07-25,Albacity,3-10,SoccerSiete
