FECHA,RIVAL,RESULTADO,LUGAR
03/11/25 - 22:00,Ases del Balón,6-1,SoccerSiete
10/11/25 - 22:00,Unión sin Fronteras FC,4-3,SoccerSiete
17/11/25 - 21:00,Bloque 8,3-12,SoccerSiete
24/11/25 - 22:00,Academia,2-1,SoccerSiete
01/12/25 - 21:00,Húsares,-,SoccerSiete
