FECHA,RIVAL,RESULTADO,LUGAR
02/10/25 - 21:00,Inter de Milonga,5-3,EntreTiempo
09/10/25 - 21:00,Torcazas FC,8-4,EntreTiempo
16/10/25 - 21:00,Hurones,3-5,EntreTiempo
23/10/25 - 22:00,Triageria FC,5-5,EntreTiempo
06/10/25 - 21:00,Ases del Balón,3-8,EntreTiempo
13/11/25 - 21:00,Basurekes FC,-,EntreTiempo
20/11/25 - PD,Suéltala,-,EntreTiempo
