FECHA,RIVAL,RESULTADO,LUGAR
02/10/25 - 21:00,Inter de Milonga,5-3,Taqueral
09/10/25 - 21:00,Torcazas FC,8-4,Taqueral
16/10/25 - 21:00,Hurones,-,Taqueral
23/10/25 - 22:00,Triageria FC,-,Taqueral
30/10/25 - 21:00,Ases del Balón,-,Taqueral
06/11/25 - 21:00,Basurekes FC,-,Taqueral
13/11/25 - PD,Suéltala,-,Taqueral
