NOMBRE,GOLES
SEBASTIAN RUMINOT,8
JESUS VILLAMIZAR,4
DANIEL RAMOS,3
HERNAN ESCALANTE,4
LENIN,3
ANDRES ULLOA,3
DARIL STUARDO,2
FRANCISCO RAMIREZ,2
DARIK MARQUEZ,2
PATRICIO ORTEGA,1
JOSUE RUIZ,1
FELIPE CANALES,1
DANIEL MOYA,1
