FECHA,RIVAL,RESULTADO,LUGAR
03/11/25 - 22:00,6-1,Ases del Balón,SoccerSiete
10/11/25 - 22:00,4-3,Unión sin Fronteras FC,SoccerSiete
17/11/25 - 21:00,3-12,Bloque 8,SoccerSiete
24/11/25 - 22:00,2-1,Academia,SoccerSiete
01/12/25 - 21:00,9-2,Húsares,SoccerSiete
15/12/25 - 21:00,1-3,Alba City,SoccerSiete - Fase Oro
22/12/25 - 21:00,3-11,Schneider,SoccerSiete - Fase Oro
29/12/25 - 21:00,3-11,Bloque 8,SoccerSiete - Fase Oro
