FECHA,RESULTADO,RIVAL,LUGAR
02/10/25,5-3,Inter de Milonga,EntreTiempo
09/10/25,8-4,Torcazas FC,EntreTiempo
16/10/25,3-5,Hurones,EntreTiempo
23/10/25,5-5,Triageria FC,EntreTiempo
06/10/25,3-8,Ases del Balón,EntreTiempo
13/11/25,2-8,Basurekes FC,EntreTiempo
20/11/25,3-3,Suéltala,EntreTiempo
