NOMBRE,GOLES
DIEGO CANCINO,5
JOEL LAGOS,5
IGNACIO CARDENAS,5
JONATHAN MOYA,4
ESTABAN SEPULVEDA,3
NICOLAS BARRA,2
PATRICIO ORTEGA,2
CARLOS CAMBERES,2
MARCELO LOYOLA,2
ROBY ARANEDA,1
