NOMBRE,GOLES
DANIEL GALLARDO,7
JONATHAN MOYA,3
DIEGO CANCINO,3
JOEL LAGOS,2
GABRIEL MOYA,2
SEBASTIAN RUMINOT,2
ESTEBAN SEPULVEDA,2
NICOLAS BARRA,2
MARCELO LOYOLA,2
IGNACIO CARDENAS,2
HERNAN ESCALANTE,1
PATRICIO ORTEGA,1
