FECHA,RIVAL,RESULTADO,LUGAR
21/07/25,3-4,Forasteros,SoccerSiete
28/07/25,3-10,Albacity,SoccerSiete
04/08/25,2-4,Nacimiento,SoccerSiete
11/08/25,5-8,Sin Perdón,SoccerSiete
18/08/25,5-6,San Lucho,SoccerSiete
25/08/25,5-11,Forasteros,SoccerSiete
01/09/25,3-2,Academia,SoccerSiete
08/09/25,13-6,Unión Sin Fronteras,SoccerSiete
