FECHA,RIVAL,RESULTADO,LUGAR
03/11/25 - 22:00,Ases del Balón,6-1,SoccerSiete
10/11/25 - 22:00,Unión sin Fronteras FC,4-3,SoccerSiete
17/11/25 - 21:00,Bloque 8,3-12,SoccerSiete
24/11/25 - 22:00,Academia,2-1,SoccerSiete
01/12/25 - 21:00,Húsares,9-2,SoccerSiete
15/12/25 - 21:00,Alba City,1-3,SoccerSiete - Fase Oro
22/12/25 - 21:00,Schneider,3-11,SoccerSiete - Fase Oro
29/12/25 - 21:00,Bloque 8,3-11,SoccerSiete - Fase Oro
